name,website
"Example Domain","https://example.com/"
"Example Domain","https://example.com/"
"GitHub · Change is constant. GitHub keeps you ahead. · GitHub","https://github.com/"
"GitHub · Change is constant. GitHub keeps you ahead. · GitHub","https://github.com/"
"GitHub · Change is constant. GitHub keeps you ahead. · GitHub","https://github.com/"
"Quotes to Scrape","https://quotes.toscrape.com/"
"GitHub · Change is constant. GitHub keeps you ahead. · GitHub","https://github.com/"
"MCP Registry · GitHub","https://github.com/mcp"
"GitHub · Why Choose GitHub? · GitHub","https://github.com/why-github"
"Marketplace · Tools to improve your workflow · GitHub","https://github.com/marketplace"
"GitHub Features · GitHub","https://github.com/features"
"GitHub Enterprise · The AI-powered developer platform for the agent-ready enterprise · GitHub","https://github.com/enterprise"
"GitHub for teams · Build like the best teams on the planet · GitHub","https://github.com/team"
"GitHub · Scalable AI-Powered Enterprise Platform Solutions · GitHub","https://github.com/solutions"
"Customer stories · GitHub","https://github.com/customer-stories"
"GitHub Trust Center · GitHub","https://github.com/trust-center"
"GitHub · Change is constant. GitHub keeps you ahead. · GitHub","https://github.com/"
"MCP Registry · GitHub","https://github.com/mcp"
"GitHub · Why Choose GitHub? · GitHub","https://github.com/why-github"
"Pricing | Railway","https://railway.com/pricing"
"Example Domain","https://example.com/"
"Pricing | Railway","https://railway.com/pricing"
"Example Domain","https://example.com/"
"Example Domain","https://example.com/"
"Pricing | Railway","https://railway.com/pricing"
"Example Domain","https://example.com/"
"Pricing | Railway","https://railway.com/pricing"
"Pricing | Railway","https://railway.com/pricing"
